employer_id,employer_name,industry,state
EMP00001,Rodriguez Figueroa and Sanchez,Finance,DE
EMP00002,Doyle Ltd,Manufacturing,WI
EMP00003,Mcclain Miller and Henderson,Healthcare,KS
EMP00004,Davis and Sons,Retail,FL
EMP00005,Guzman Hoffman and Baldwin,Finance,CT
EMP00006,Gardner Robinson and Lawrence,Finance,WI
EMP00007,Blake and Sons,Logistics,CO
EMP00008,Henderson Ramirez and Lewis,Logistics,ND
EMP00009,Garcia-James,Manufacturing,AK
EMP00010,Abbott-Munoz,Manufacturing,IL
EMP00011,Blair PLC,Retail,NV
EMP00012,Dudley Group,Logistics,AK
EMP00013,Arnold Ltd,Logistics,ID
EMP00014,Mcclure Ward and Lee,Finance,TN
EMP00015,Williams and Sons,Finance,OH
EMP00016,Galloway-Wyatt,Technology,IN
EMP00017,James Group,Technology,PA
EMP00018,Flowers Martin and Kelly,Healthcare,AL
EMP00019,Adams Zuniga and Wong,Retail,VA
EMP00020,Reid Ferguson and Sanchez,Technology,MI
EMP00021,Gray-Mayo,Healthcare,GA
EMP00022,Watts Robinson and Nguyen,Retail,WV
EMP00023,Perez Inc,Healthcare,CT
EMP00024,Morales-Jones,Manufacturing,MS
EMP00025,Walter Edwards and Rios,Manufacturing,MN
EMP00026,Wilkerson-Day,Healthcare,RI
EMP00027,Baker and Sons,Healthcare,AZ
EMP00028,Hoffman Baker and Richards,Finance,NH
EMP00029,Ross Robinson and Bright,Logistics,DE
EMP00030,Snyder Campos and Callahan,Technology,CO
EMP00031,Burton Ltd,Logistics,MA
EMP00032,Carlson-Cruz,Finance,SC
EMP00033,Ferrell Rice and Maddox,Healthcare,OR
EMP00034,Frazier Inc,Retail,VT
EMP00035,Dyer Potter and Mack,Manufacturing,AZ
EMP00036,Rodriguez-Graham,Finance,IN
EMP00037,Smith-Bowen,Healthcare,CO
EMP00038,Baker Mason and White,Retail,CT
EMP00039,Harrell LLC,Technology,LA
EMP00040,Romero Gonzalez and Brooks,Technology,SD
EMP00041,Ryan PLC,Healthcare,HI
EMP00042,George Group,Healthcare,MN
EMP00043,Rodriguez LLC,Retail,TX
EMP00044,Allen-Allen,Healthcare,VA
